BP143_125_RCT_PM017_1_1_R2_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018412815319462346	0.011047689191677406	0.060762290554225745	0.13441355183207512	0.20069968698213958	0.27619222979193514	0.37193886945313936	0.4511139753268275	0.565273430307494	0.6886392929478917	0.8543546308230529	1.020069968698214	1.145277112870558	1.2723255385748482	1.4214693426624931	1.5835021174737618	1.7455348922850304	1.9241392008838152	2.065917878843675	2.2389983428466214	2.4636346897440617	2.677223347449825	2.835573559197201	3.0049714601362547	3.2001473025225557	3.446879027803351	3.7157061314675017	3.9495488860246732	4.1152642238998345	4.330694163137544	4.527711287055791	4.846252992082489	5.135334192598048	5.380224636346897	5.58460688639293	5.822132204013994	6.1517215982323705	6.416866138832628	6.630454796538391	6.864297551095563	7.12944209169582	7.429570981403057	7.742588841833916	8.020622353157798	8.254465107714969	8.523292211379118	8.854722887129443	9.17878843675198	9.45313938501197	9.692505984164978	9.974222058552751	10.355367335665623	10.696004419075678	11.032958939421839	11.323881421469343	11.653470815687719
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP153_135_RCT_PM030_1_1_R1_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004634457189201715	0.01969644305410729	0.06372378635152358	0.11122697254084116	0.15988877302745916	0.21666087359518016	0.2630054454871973	0.3232533889468196	0.40899084694705135	0.5097902908121886	0.6279689491368323	0.7426717645695748	0.8585331942996177	0.9720773954350597	1.1226972540841154	1.251303441084463	1.3903371567605145	1.535163943923068	1.6684045881126173	1.827134746842776	2.0009268914378406	2.1457536786003937	2.309118294519754	2.4365658672228014	2.6196269261962692	2.8258602711157454	3.0367280732244235	3.240644189549299	3.43297416290117	3.605607693198934	3.848916695632024	4.115397984011123	4.343645000579308	4.5382922025257795	4.748001390337157	4.991310392770247	5.274012281311551	5.5764106129069635	5.830147144015758	6.073456146448847	6.387440621017264	6.718804310045186	6.99918896999189	7.208898157803267	7.461476074614761	7.7603985633182715	8.083651952265091	8.387208898157803	8.66991078669911	8.929440389294404	9.210983663538409	9.643146796431468	10.008110300081103	10.32209477464952	10.433321747190359	10.683582435407253
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP153_135_RCT_PM030_1_1_R2_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011586142973004287	0.005793071486502144	0.04634457189201715	0.097323600973236	0.1448267871625536	0.20044027343297416	0.24794345962229175	0.3047155601900128	0.38118410381184104	0.4877766191634805	0.6105897346773259	0.7171822500289653	0.8226161510833043	0.9129880662727379	1.0589734677325917	1.2061174834897463	1.3590545707334027	1.4888193720310507	1.6104738732475958	1.770362646275055	1.9395203336809175	2.0739195921677673	2.2442358938709304	2.3682076236820766	2.5489514540609433	2.75634341327772	2.975321515467501	3.178079017495076	3.3634573050631444	3.5245046923879038	3.770130923415595	4.0563086548488005	4.285714285714286	4.4676167303904535	4.665739775228826	4.905572934770015	5.165102537365311	5.462866411771522	5.7212374000695165	5.955277488124203	6.254199976827714	6.582087822963736	6.900706754721353	7.115050399721932	7.325918201830611	7.601668404588112	7.951569922372842	8.258602711157454	8.528559842428455	8.774186073456146	9.068474104970456	9.511064766539219	9.866759355810451	10.18885413045997	10.471556019001275	10.821457536786003
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP155_137_RCT_PM033_1_1_R1_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001479946721918011	0.007399733609590055	0.07103744265206453	0.15835429924522718	0.23531152878496375	0.3181885452123724	0.4484238567411573	0.5904987420452863	0.7162942134083172	0.8509693651028563	1.0596418528932958	1.2860737013467514	1.4133491194317005	1.5805830990084355	1.7996152138523014	2.0423264762468554	2.2761580583099006	2.4848305461003406	2.6905431404469438	2.943614029894924	3.1863252922894776	3.4704750628977354	3.7131863252922894	3.915939026195057	4.213408317300577	4.5286369690691135	4.877904395441764	5.179813526713039	5.434364362882937	5.672635785111735	6.035222731981649	6.399289625573479	6.761876572443391	7.0460263430516505	7.359775048098268	7.76824034334764	8.175225691875092	8.561491786295694	8.903359479058754	9.273346159538256	9.65813230723694	10.020719254106853	10.398105668195946	10.72961373390558	11.031522865176854	11.454787627645405	11.86769276306053	12.271718218144146	12.635785111735977	12.95397365694835	13.32692023087169	13.77830398105668	14.182329436140298	14.555276010063636	14.67959153470475	14.974100932366435
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP155_137_RCT_PM033_1_1_R2_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007399733609590055	0.0680775492082285	0.15391445907947315	0.2323516353411277	0.31670859849045435	0.4454639632973213	0.5801391149918602	0.7044546396329732	0.8420896847713482	1.0537220660056237	1.2860737013467514	1.4163090128755365	1.5850229391741897	1.8025751072961373	2.037886636081101	2.2643184845345568	2.47003107888116	2.6772236199496815	2.9258546692319074	3.1670859849045434	3.4497558087908837	3.6865472842977653	3.886340091756697	4.1867692763060536	4.5005179813526714	4.848305461003404	5.14873464555276	5.395885748113068	5.637117063785704	5.995264170489863	6.350451383750185	6.711558383898179	6.9897883676187655	7.305017019387302	7.695722953973657	8.08790883528193	8.457895515761432	8.768684327364214	9.131271274234127	9.521977208820482	9.886044102412313	10.25307088944798	10.590498742045286	10.864288885600118	11.256474766908392	11.672339795767353	12.103004291845494	12.47003107888116	12.77490010359627	13.158206304573035	13.58591090720734	13.997336095900547	14.396921710818411	14.762468551132159	15.154654432440433
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
