asv0000190	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_9
asv0000191	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000192	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000193	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;28-4
asv0000194	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium
asv0000195	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-006
asv0000196	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;johnsonii
asv0000197	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000198	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;A2
asv0000199	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000200	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000201	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000202	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium
asv0000203	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-009
asv0000204	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Candidatus_Arthromitus
asv0000205	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus
asv0000206	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-006;bacterium
asv0000207	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000208	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000209	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group
asv0000210	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group
asv0000211	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia
asv0000212	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
asv0000213	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_6
asv0000214	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
asv0000215	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
asv0000216	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;A2
asv0000217	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-010
asv0000218	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
asv0000219	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000220	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000221	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;vulgatus
asv0000222	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium
asv0000223	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000224	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella_3
asv0000225	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000226	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000227	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor
asv0000228	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group
asv0000229	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000230	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000231	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000232	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium
asv0000233	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000234	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor
asv0000235	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000236	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila
asv0000237	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000238	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
asv0000239	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium
asv0000240	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000241	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
asv0000242	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-001
asv0000243	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor
asv0000244	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
asv0000245	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_9
asv0000246	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Phocea
asv0000247	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_9
asv0000248	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
asv0000249	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000250	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
asv0000251	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Intestinimonas
asv0000252	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000253	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
asv0000254	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000255	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
asv0000256	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000257	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor
asv0000258	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium
asv0000259	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae
asv0000260	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000261	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor
asv0000262	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-001
asv0000263	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000264	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000265	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000266	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
asv0000267	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Intestinimonas
asv0000268	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
asv0000269	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
asv0000270	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor
asv0000271	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
asv0000272	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000273	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
asv0000274	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000275	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000276	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;GCA-900066575
asv0000277	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
