Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BP367_344_RCT_M072_PP_1_R2_subset	BP367_344_RCT_M072_PP_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	43.0	99.642	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP368_345_RCT_M073_PP_1_R1_subset	BP368_345_RCT_M073_PP_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35498.0	0.0	70-146	45.0	99.87323229477717	142.58093413713448	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
BP368_345_RCT_M073_PP_1_R2_subset	BP368_345_RCT_M073_PP_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35498.0	0.0	146.0	45.0	99.84506169361654	146.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
BP371_348_RCT_M076_PP_1_R1_subset	BP371_348_RCT_M076_PP_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	45.0	99.721	141.92192	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
BP371_348_RCT_M076_PP_1_R2_subset	BP371_348_RCT_M076_PP_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	45.0	99.644	146.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
BP376_353_RCT_M013_SV1_1_R1_subset	BP376_353_RCT_M013_SV1_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	41.0	99.79299999999999	141.68552	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
BP376_353_RCT_M013_SV1_1_R2_subset	BP376_353_RCT_M013_SV1_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	42.0	99.726	146.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
BP389_365_RCT_M043_SV1_1_R1_subset	BP389_365_RCT_M043_SV1_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	42.0	99.798	140.78674	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP389_365_RCT_M043_SV1_1_R2_subset	BP389_365_RCT_M043_SV1_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	42.0	99.732	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP391_367_RCT_M045_SV1_1_R1_subset	BP391_367_RCT_M045_SV1_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	71-146	38.0	99.20400000000001	143.54914	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	fail
BP391_367_RCT_M045_SV1_1_R2_subset	BP391_367_RCT_M045_SV1_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	38.0	99.09	146.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
BP396_372_RCT_M050_SV1_1_R1_subset	BP396_372_RCT_M050_SV1_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	42.0	99.35300000000001	142.22642	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP396_372_RCT_M050_SV1_1_R2_subset	BP396_372_RCT_M050_SV1_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	42.0	99.319	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP398_374_RCT_M054_SV1_1_R1_subset	BP398_374_RCT_M054_SV1_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30160.0	0.0	70-146	40.0	99.85742705570291	141.2775198938992	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP398_374_RCT_M054_SV1_1_R2_subset	BP398_374_RCT_M054_SV1_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30160.0	0.0	146.0	41.0	99.75132625994695	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP402_378_RCT_M058_SV1_1_R1_subset	BP402_378_RCT_M058_SV1_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82347.0	0.0	70-146	42.0	99.70855040256475	142.622123453192	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP402_378_RCT_M058_SV1_1_R2_subset	BP402_378_RCT_M058_SV1_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82347.0	0.0	146.0	42.0	99.64904610975506	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP403_379_RCT_M060_SV1_1_R1_subset	BP403_379_RCT_M060_SV1_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96326.0	0.0	70-146	39.0	99.50376845296182	142.7346510807051	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	fail
BP403_379_RCT_M060_SV1_1_R2_subset	BP403_379_RCT_M060_SV1_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96326.0	0.0	146.0	40.0	99.41448830014743	146.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	fail
BP411_387_RCT_M074_SV1_1_R1_subset	BP411_387_RCT_M074_SV1_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	43.0	99.696	141.6633	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
BP411_387_RCT_M074_SV1_1_R2_subset	BP411_387_RCT_M074_SV1_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	43.0	99.614	146.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	fail
BP413_389_RCT_M076_SV1_1_R1_subset	BP413_389_RCT_M076_SV1_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97972.0	0.0	70-146	45.0	99.75196995059812	144.04372677907975	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
BP413_389_RCT_M076_SV1_1_R2_subset	BP413_389_RCT_M076_SV1_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97972.0	0.0	146.0	44.0	99.64785857183685	146.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
BP418_394_REC_PM027_V1_1_R1_subset	BP418_394_REC_PM027_V1_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	43.0	99.698	142.47734	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP418_394_REC_PM027_V1_1_R2_subset	BP418_394_REC_PM027_V1_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	42.0	99.611	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP419_395_RCT_M012_SV2_1-1_R1_subset	BP419_395_RCT_M012_SV2_1-1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	71-146	41.0	99.75699999999999	144.05742	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
BP419_395_RCT_M012_SV2_1-1_R2_subset	BP419_395_RCT_M012_SV2_1-1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	41.0	99.697	146.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	fail
BP427_403_RCT_M032_SV2_1_R1_subset	BP427_403_RCT_M032_SV2_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	44.0	99.787	142.57288	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
BP427_403_RCT_M032_SV2_1_R2_subset	BP427_403_RCT_M032_SV2_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	44.0	99.724	146.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	fail
BP431_407_RCT_M042_SV2_1_R1_subset	BP431_407_RCT_M042_SV2_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83782.0	0.0	70-146	43.0	99.81977035640114	141.56974051705618	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
BP431_407_RCT_M042_SV2_1_R2_subset	BP431_407_RCT_M042_SV2_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83782.0	0.0	146.0	43.0	99.76486596166241	146.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
BP453_428_RCT_M075_SV2_1_R1_subset	BP453_428_RCT_M075_SV2_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61834.0	0.0	70-146	40.0	99.71860141669632	142.9202057120678	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	fail
BP453_428_RCT_M075_SV2_1_R2_subset	BP453_428_RCT_M075_SV2_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61834.0	0.0	146.0	40.0	99.64097422130219	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP455_430_RCT_M077_SV2_1_R1_subset	BP455_430_RCT_M077_SV2_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	52.0	99.574	140.6918	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
BP455_430_RCT_M077_SV2_1_R2_subset	BP455_430_RCT_M077_SV2_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	51.0	99.528	146.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	fail
BP456_431_RCT_M078_SV2_1_R1_subset	BP456_431_RCT_M078_SV2_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	46.0	99.89	143.10506	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
BP456_431_RCT_M078_SV2_1_R2_subset	BP456_431_RCT_M078_SV2_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	45.0	99.851	146.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
BP457_432_RCT_M080_SV2_1_R1_subset	BP457_432_RCT_M080_SV2_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	42.0	99.789	141.55736	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
BP457_432_RCT_M080_SV2_1_R2_subset	BP457_432_RCT_M080_SV2_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	42.0	99.727	146.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
BP458_433_RCT_M002_SV3_1_R1_subset	BP458_433_RCT_M002_SV3_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	45.0	99.729	142.29558	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
BP458_433_RCT_M002_SV3_1_R2_subset	BP458_433_RCT_M002_SV3_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	45.0	99.68900000000001	146.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
BP469_444_RCT_M040_SV3_1_R1_subset	BP469_444_RCT_M040_SV3_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	40.0	99.699	142.32476	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP469_444_RCT_M040_SV3_1_R2_subset	BP469_444_RCT_M040_SV3_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	41.0	99.63300000000001	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP472_447_RCT_M044_SV3_1_R1_subset	BP472_447_RCT_M044_SV3_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	45.0	99.843	142.04658	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
BP472_447_RCT_M044_SV3_1_R2_subset	BP472_447_RCT_M044_SV3_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	45.0	99.777	146.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
BP473_448_RCT_M047_SV3_1_R1_subset	BP473_448_RCT_M047_SV3_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	38.0	99.381	142.89052	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	warn
BP473_448_RCT_M047_SV3_1_R2_subset	BP473_448_RCT_M047_SV3_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	39.0	99.321	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	warn
BP474_449_RCT_M048_SV3_1_R1_subset	BP474_449_RCT_M048_SV3_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	41.0	99.681	139.3427	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP474_449_RCT_M048_SV3_1_R2_subset	BP474_449_RCT_M048_SV3_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	41.0	99.593	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP484_459_RCT_M061_SV3_1_R1_subset	BP484_459_RCT_M061_SV3_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63738.0	0.0	70-146	41.0	99.7442655872478	142.92553892497412	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP484_459_RCT_M061_SV3_1_R2_subset	BP484_459_RCT_M061_SV3_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63738.0	0.0	146.0	41.0	99.69249113558631	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP494_469_RCT_M077_SV3_1_R1_subset	BP494_469_RCT_M077_SV3_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54612.0	0.0	70-146	58.0	99.54405625137332	143.48674284040138	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	fail
BP494_469_RCT_M077_SV3_1_R2_subset	BP494_469_RCT_M077_SV3_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54612.0	0.0	146.0	58.0	99.54771845015748	146.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	fail
BP495_470_RCT_M079_SV3_1_R1_subset	BP495_470_RCT_M079_SV3_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49708.0	0.0	70-146	41.0	99.73243743461818	142.11841152329606	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP495_470_RCT_M079_SV3_1_R2_subset	BP495_470_RCT_M079_SV3_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49708.0	0.0	146.0	41.0	99.63788524985918	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP496_471_RCT_M080_SV3_1_R1_subset	BP496_471_RCT_M080_SV3_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	38.0	99.636	141.06302	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	fail
BP496_471_RCT_M080_SV3_1_R2_subset	BP496_471_RCT_M080_SV3_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	39.0	99.59400000000001	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP507_482_RECT_M042_SV4_1_R1_subset	BP507_482_RECT_M042_SV4_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	42.0	99.663	142.20682	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP507_482_RECT_M042_SV4_1_R2_subset	BP507_482_RECT_M042_SV4_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	42.0	99.59	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP513_488_RCT_M054_SV4_1_R1_subset	BP513_488_RCT_M054_SV4_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	43.0	99.602	142.325	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP513_488_RCT_M054_SV4_1_R2_subset	BP513_488_RCT_M054_SV4_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	43.0	99.591	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP537_512_RCT_M058_SV5_1_R1_subset	BP537_512_RCT_M058_SV5_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	42.0	99.821	141.10512	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP537_512_RCT_M058_SV5_1_R2_subset	BP537_512_RCT_M058_SV5_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	42.0	99.74300000000001	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP542_516_RCT_M074_SV5_1_R1_subset	BP542_516_RCT_M074_SV5_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	45.0	99.801	141.74018	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
BP542_516_RCT_M074_SV5_1_R2_subset	BP542_516_RCT_M074_SV5_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	45.0	99.737	146.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
BP543_517_RCT_M077_SV5_1_R1_subset	BP543_517_RCT_M077_SV5_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99473.0	0.0	70-146	55.0	99.06808882812422	143.88915585133654	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	fail
BP543_517_RCT_M077_SV5_1_R2_subset	BP543_517_RCT_M077_SV5_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99473.0	0.0	146.0	54.0	99.0339086988429	146.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	fail
