Geneid	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
6787_2	0	0	0	0	0	2	0	0	0	0
6792_1	0	0	0	4	0	0	0	0	0	3
6792_2	1	0	0	0	0	0	0	0	0	11
1784_1	0	0	10	8	0	3	0	0	5	0
1784_2	0	0	1	11	3	2	0	0	1	0
1784_3	1	0	15	10	1	4	0	0	4	0
1784_4	7	0	20	15	0	13	0	0	5	3
1784_5	12	0	9	5	0	3	0	0	2	8
6799_1	20	36	20	33	17	11	17	29	34	26
6799_2	60	150	159	111	87	63	141	106	162	97
6799_3	0	0	16	21	0	0	0	8	47	7
6808_1	7	0	9	4	0	6	0	0	1	5
6808_2	2	0	5	2	1	6	0	0	3	0
6817_1	0	0	6	20	0	1	0	0	1	2
6821_1	0	0	0	0	0	3	0	0	0	3
6821_2	0	0	0	0	0	0	0	0	0	9
6821_3	0	0	1	0	0	0	0	0	4	6
6821_4	0	0	0	0	0	0	0	0	1	17
6826_1	0	1	0	0	0	0	3	1	0	0
6826_2	0	0	0	0	0	0	0	10	0	0
6826_3	0	0	0	0	0	0	0	17	0	0
6826_4	0	0	0	0	0	0	0	0	0	1
6829_1	12	64	14	3	43	17	55	0	0	2
6829_2	6	28	4	4	22	12	40	0	0	2
6829_3	12	29	8	8	28	9	41	0	0	0
6829_4	5	58	6	4	35	22	50	0	0	7
6829_5	8	36	6	4	41	9	49	0	0	3
6829_6	2	25	3	5	17	16	27	0	0	0
6830_1	1	0	0	0	0	0	0	17	1	2
6833_1	0	0	6	5	0	0	0	0	4	2
6833_2	0	0	3	0	0	0	0	0	2	0
6864_1	4	2	0	15	3	6	0	27	1	21
6864_2	0	0	0	13	0	0	0	19	0	6
6864_3	0	0	0	8	1	0	0	20	0	25
6864_4	0	0	0	7	1	0	1	21	0	12
6864_5	0	0	0	3	0	0	0	17	0	13
6864_6	0	0	0	5	0	1	0	22	0	3
6864_7	0	0	1	0	2	0	0	2	0	0
6864_8	0	0	0	1	0	0	0	1	0	2
6864_9	0	0	0	9	3	4	0	32	2	10
6864_10	0	0	0	6	1	1	0	18	0	7
6864_11	0	0	0	2	0	0	0	8	0	4
6864_12	0	1	0	5	2	0	0	12	0	2
6864_13	0	0	0	5	0	0	0	14	0	8
6864_14	0	0	0	18	0	3	0	24	0	8
6864_15	0	0	0	4	2	0	0	18	0	5
6864_16	0	0	0	8	2	0	0	16	0	8
6864_17	0	0	1	25	3	0	0	40	0	16
6864_18	0	0	0	12	0	0	0	14	0	6
6864_19	0	0	0	7	1	0	0	20	0	6
6864_20	0	0	0	11	2	0	0	13	0	12
6864_21	0	0	0	6	0	0	0	8	0	4
6864_22	0	1	0	4	1	0	0	12	0	4
6864_23	0	0	0	16	1	0	0	35	0	26
6864_24	0	0	0	11	1	0	0	19	0	9
6864_25	0	0	0	5	0	1	0	5	0	4
6864_26	0	0	0	10	2	0	0	17	0	9
6864_27	0	0	0	13	2	0	0	27	0	13
6864_28	0	0	0	6	0	0	0	7	0	7
1794_1	2	4	1	4	5	3	7	0	0	1
1794_2	1	2	0	2	1	3	3	0	0	0
1794_3	2	3	0	0	0	0	4	0	0	1
1794_4	0	2	0	1	1	0	1	0	0	0
1794_5	1	2	0	1	0	0	0	0	0	1
1794_6	1	9	2	0	5	0	4	0	0	0
6877_1	0	0	0	0	0	0	0	1	0	0
6877_2	0	0	0	0	0	0	0	11	0	0
6877_3	0	0	0	0	0	1	0	17	0	0
6877_4	0	0	0	0	0	0	0	9	0	0
6877_5	0	0	0	0	0	0	0	21	2	0
6877_6	0	0	0	0	0	0	0	10	0	0
6877_7	0	0	0	0	0	0	0	5	0	0
6881_1	3	0	1	1	0	3	0	0	1	1
6881_2	6	0	0	11	0	0	0	1	0	11
6881_3	4	2	3	1522	0	4	7	2	0	7
6969_1	0	5	0	0	2	0	1	15	0	0
6969_2	0	2	1	0	6	1	2	22	0	0
6969_3	0	2	4	0	0	0	2	21	0	0
6969_4	0	6	2	0	7	0	14	57	0	0
6969_5	0	4	2	0	0	0	5	19	1	0
6969_6	0	4	0	0	0	0	0	6	0	1
6969_7	0	1	0	0	0	0	0	8	0	0
6969_8	0	4	2	1	3	0	6	25	0	0
6969_9	0	4	2	0	4	0	0	14	0	0
6969_10	0	1	0	0	0	0	2	9	0	0
6969_11	0	2	0	0	1	0	5	7	0	0
6969_12	1	15	3	0	7	3	15	66	0	0
6969_13	0	9	2	0	3	0	6	29	0	0
6969_14	0	7	4	0	7	0	6	21	0	0
6969_15	0	9	4	0	7	0	18	34	0	0
6969_16	0	13	8	0	5	0	10	29	0	0
6969_17	0	8	9	0	5	0	13	69	2	5
6969_18	0	4	1	0	5	0	4	25	1	0
6969_19	0	0	0	0	0	1	0	1	0	0
6969_20	0	7	6	0	1	0	11	31	0	0
6969_21	0	11	4	0	7	2	10	61	1	1
6969_22	0	9	2	0	5	2	9	52	1	0
6969_23	0	15	2	0	2	1	10	51	0	0
