Sequence	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
k141_34412	6	0	0	0	0	1	0	0	8	3
k141_73276	0	0	0	0	0	14	0	0	0	2
k141_22339	0	0	0	1	0	2	0	0	0	11
k141_10665	0	0	0	0	7	1	20	0	0	1
k141_83371	107	0	37	37	0	11	1	4	3	14
k141_34414	1	0	0	0	0	7	0	0	94	0
k141_22346	0	0	0	0	0	1	0	1	0	17
k141_73277	9	14	4	10	26	10	14	1	1	9
k141_73278	2	0	0	1	0	3	0	0	13	4
k141_22347	0	0	6	30	0	0	0	0	3	0
k141_34415	10	7	2	2	10	4	18	0	0	7
k141_83373	10	1	3	24	3	9	0	2	3	17
k141_22348	5	2	2	4	3	1	4	0	0	8
k141_10672	0	0	0	0	3	1	0	102	0	0
k141_34422	8	4	12	11	3	1	0	2	0	18
k141_10674	0	0	0	0	0	0	0	0	12	0
k141_83377	7	0	0	90	0	5	11	1	0	0
k141_10679	0	0	0	0	0	0	0	0	1	27
k141_73284	0	8	0	0	17	4	72	2	0	0
k141_73286	0	0	4	5	0	0	0	0	6	0
k141_10684	0	0	0	0	0	1	0	0	23	0
k141_34440	6	0	6	0	0	0	0	0	1	1
k141_10688	0	0	3	9	0	0	0	0	4	1
k141_73288	0	0	0	0	0	1	0	1	41	0
k141_10689	0	0	14	8	0	0	0	0	10	0
k141_73289	3	16	7	3	10	15	20	15	0	3
k141_59387	700	3	735	701	24	13	3	2	220	194
k141_83389	7	1	3	5	0	88	0	2	42	130
k141_59389	0	0	0	0	0	1	0	41	0	0
k141_10695	0	0	0	0	0	2	0	0	33	1
k141_83390	0	0	0	0	1	0	0	0	16	0
k141_10696	0	0	12	6	0	0	0	0	7	0
k141_73294	0	1	0	1	0	1	0	0	7	32
k141_59393	1	5	1	1	9	3	7	0	0	1
k141_73298	0	0	3	16	0	2	0	0	1	1
k141_10700	6	0	0	0	0	0	0	0	9	4
k141_83399	1	0	1	1	0	4	1	0	51	2
k141_73300	2	6	0	6	7	1	4	0	0	7
k141_73304	0	0	0	0	0	1	0	1	10	29
k141_83404	0	0	20	1	0	0	0	0	0	48
k141_73305	0	0	0	0	0	0	1	0	26	0
k141_59414	13	2	19	16	2	5	2	0	0	26
k141_59419	0	3	0	2	3	88	1	0	7	13
k141_34454	7	1	90	445	3	11	0	0	35	20
k141_73312	0	21	9	1	11	0	22	98	0	0
k141_59423	0	0	0	1	1	0	0	0	3	35
k141_73313	0	0	0	0	0	0	0	0	18	0
k141_10708	0	3	0	1	0	2	1	327	2	0
k141_47192	1325	2	1439	1517	49	23	5	4	451	381
k141_59427	6	0	1	0	0	23	0	0	0	1
k141_73322	10	0	11	6	0	0	0	0	3	5
k141_10713	4	2	4	4	10	2	4	0	1	0
k141_59429	0	0	0	0	9	0	25	0	0	2
k141_34468	0	0	0	0	0	1	1	0	1	14
k141_73323	0	0	0	0	3	0	22	0	0	1
k141_47202	26	0	3	15	0	2	0	0	0	3
k141_10718	0	0	1	0	0	3	0	0	1	18
k141_10720	0	0	0	0	0	2	0	0	14	0
k141_47204	7	5	1	3	8	2	2	0	0	2
k141_59439	3	0	10	15	0	0	0	2	7	0
k141_47205	0	0	0	1	0	3	0	0	6	27
k141_10724	0	0	0	0	0	21	0	0	0	0
k141_73324	13	25	13	13	37	20	42	0	1	14
k141_34489	4	0	6	2	0	0	0	0	2	0
k141_59442	0	0	0	0	1	1	0	0	4	23
k141_10726	0	0	0	0	0	19	0	0	0	0
k141_73327	0	0	0	0	0	0	0	0	2	22
k141_34493	1	0	1	1	0	0	0	0	8	0
k141_83415	1	66	38	3	54	14	113	476	3	0
k141_73331	0	0	5	5	1	0	0	0	6	3
k141_10739	0	0	0	0	0	0	0	29	0	0
k141_10741	0	0	0	0	1	0	0	25	0	0
k141_34509	6	7	3	1	9	5	9	0	0	3
k141_73346	1	0	0	0	6	0	29	0	0	1
k141_34510	4	0	0	0	0	0	0	1	11	8
k141_59443	0	2	0	0	8	57	0	1	286	2
k141_10743	0	0	0	0	0	1	0	94	0	0
k141_59448	0	0	0	0	0	1	0	0	1	15
k141_34518	9	0	3	3	0	3	0	0	0	3
k141_73363	2	1	1	5	4	5	0	0	5	5
k141_34519	1	0	4	7	0	0	0	0	2	1
k141_59455	4	17	10	8	9	10	9	16	0	15
k141_10763	0	0	0	0	0	14	0	1	0	1
k141_22355	682	9	561	488	93	101	16	24	2	837
k141_34530	4	0	1	1	0	1	0	1	12	8
k141_73375	3	0	2	1	0	5	0	0	9	1
k141_34534	1	0	0	0	0	0	0	0	4	17
k141_22365	0	0	0	0	0	0	0	1	5	25
k141_10780	0	0	0	0	0	1	0	0	21	0
k141_22366	3	0	0	0	0	0	0	0	10	7
k141_34538	0	0	1	0	0	0	0	80	0	0
k141_73391	0	0	0	0	9	2	38	0	0	0
k141_22369	0	0	0	0	1	3	0	0	6	49
k141_34546	0	0	0	0	0	2	0	0	7	14
k141_10789	1	0	0	0	0	1	0	23	0	1
k141_34548	4	2	0	4	5	5	0	2	7	18
k141_73393	1	0	0	0	15	0	43	0	0	3
k141_22374	18	0	6	10	0	8	0	0	0	5
k141_73400	5	0	5	4	0	0	0	0	2	0
k141_22378	0	0	0	0	5	1	20	0	0	0
k141_59473	47	125	18	40	65	12	88	401	174	4
k141_34564	0	0	1	2	0	2	0	0	12	49
k141_10798	0	19	12	2	13	3	27	138	1	0
k141_10802	0	0	0	0	6	0	15	0	0	0
k141_34569	0	0	0	5	1	3	1	0	6	49
k141_34573	0	0	0	0	2	1	14	1	2	0
k141_10811	9	0	1	3	3	4	0	0	3	5
k141_10812	0	0	0	0	2	0	23	0	0	0
k141_34579	2	0	1	2	1	8	0	0	36	1
k141_34583	8	1	1	7	14	8	0	1	23	18
k141_10826	9	0	2	11	1	1	0	0	2	10
k141_10827	0	4	0	0	6	1	8	1	0	0
k141_10830	14	21	0	2	7	130	11	55	0	11
k141_22385	1	0	0	16	4	198	0	2	384	61
k141_10834	0	0	0	0	0	0	0	0	9	0
k141_34590	0	17	0	1	29	4	75	1	1	0
k141_22389	2	0	11	3	0	0	0	0	3	1
k141_22392	2	0	0	0	0	0	0	0	3	7
k141_34595	2	0	0	0	0	2	0	0	0	25
k141_34596	0	0	0	0	0	1	1	0	0	11
k141_22400	0	0	0	0	4	0	15	0	1	1
k141_10847	26	32	4	18	44	14	51	0	2	8
k141_22401	44	34	21	22	39	17	47	0	0	14
k141_10861	0	8	0	2	14	2	25	0	0	1
k141_22408	3	0	8	45	0	10	0	0	1	3
k141_22413	2	0	0	0	0	23	0	0	0	0
k141_73409	5	0	3015	2088	5	13	0	154	4443	1284
k141_22418	0	0	2	0	0	0	1	0	31	1
k141_34603	0	2	1	1	2	4	0	462	1	3
k141_10865	0	0	0	0	0	0	0	185	0	0
k141_34606	0	0	0	0	0	15	0	0	0	0
k141_73411	0	0	0	0	1	5	0	0	33	0
k141_10868	0	0	0	0	0	0	0	0	30	0
k141_73413	0	1	0	1	0	0	0	0	4	21
k141_10869	0	0	5	13	0	0	0	1	5	0
k141_34613	0	1	1	0	0	0	0	24	0	0
k141_22423	64	0	7	20	1	9	0	0	2	10
k141_10870	8	0	0	12	2	0	0	0	1	7
k141_59477	61	1167	24	108	141	39	20	222	13	101
k141_73420	13	1	7	12	0	4	0	0	0	1
k141_10872	0	0	0	0	8	0	17	0	0	0
k141_22441	0	0	0	0	0	1	0	0	27	0
k141_59482	0	18	0	0	36	7	83	2	2	1
k141_96938	939	2341	522	483	967	165	1264	5733	3255	152
k141_22444	0	0	0	0	14	0	47	0	0	0
k141_96939	2	2	0	2	3	0	0	0	10	5
k141_59490	0	0	0	1	1	2	0	0	16	47
k141_73425	97	6	88	102	18	14	9	2	1	155
k141_22453	7	4	2	14	6	17	0	1	13	15
k141_59491	0	0	0	0	0	1	0	0	30	0
k141_10874	1	0	66	252	3	1	0	1	1	10
k141_22455	0	0	0	0	0	13	0	0	16	2
k141_22456	0	0	0	0	0	0	0	0	1	27
k141_73433	26	0	3	12	4	2	0	0	0	1
k141_59495	15	0	5	18	4	1	2	1	0	21
k141_22457	0	0	9	4	0	0	0	0	14	0
k141_10878	8	9	1	3	14	11	13	0	0	5
k141_22463	1	0	1	122	0	2	18	3	1	7
k141_22464	0	3	0	0	2	6	0	2	0	0
k141_73452	1	0	4	1	0	1	0	1	1	39
k141_73455	0	0	13	44	0	2	0	0	0	0
k141_10883	0	0	55	197	0	5	0	0	1	4
k141_22475	2	5	1	3	6	1	2	0	0	2
k141_10886	0	0	0	0	0	2	3	6	0	2
k141_59511	2	0	1	0	0	1	1	243	1	0
k141_22477	13	1	30	30	4	3	0	1	11	15
k141_10887	0	2	2	0	18	15	1	21	1	1
k141_73457	0	0	21	94	0	1	0	0	2	1
k141_22478	0	6	0	0	18	31	1	19	0	1
k141_22481	0	0	1	0	0	0	0	0	6	42
k141_34623	370	2	296	229	49	68	16	5	3	456
k141_22489	0	3	0	0	0	1	17	1	0	0
k141_59537	0	0	1	1	0	0	0	0	22	0
k141_22490	2	1	0	0	0	0	0	0	14	0
k141_59540	4	0	0	1	0	2	0	1	19	2
k141_34627	0	10	1	0	39	34	1	23	1	1
k141_59541	2	0	0	4	0	0	0	0	4	0
k141_10916	0	0	0	0	0	1	0	0	25	1
k141_22493	4	0	2	11	1	1	0	0	2	6
k141_59544	0	0	1	2	1	1	0	0	4	21
k141_22496	0	17	7	2	9	3	24	92	0	0
k141_34632	0	0	1	0	0	1	0	0	6	45
k141_59545	17	1	2	8	4	4	1	0	9	4
k141_73468	1	0	0	74	4	5	1	138	1	76
k141_22499	0	0	14	49	0	0	0	0	1	4
k141_59549	0	0	0	0	0	1	0	0	17	0
k141_10929	5	1	0	4	0	1	0	0	8	41
k141_10933	0	1	0	1	0	4	0	0	28	2
k141_59557	0	0	0	0	0	0	0	0	0	9
k141_22505	0	0	0	0	0	1	0	60	0	0
k141_73485	0	0	0	0	0	0	0	0	1	24
k141_22511	0	0	0	1	0	0	0	0	12	3
k141_59565	0	0	7	46	0	0	0	0	0	0
k141_22514	0	1	1	3	7	7	0	0	4	5
k141_59569	0	7	0	0	0	3	15	0	2	2
k141_73487	0	45	1	1	51	19	141	7	0	0
k141_10935	1	42	0	2	92	10	211	2	0	1
k141_59578	17	42	0	0	14	131	15	66	0	11
k141_34637	0	3	1	0	1	5	0	510	4	1
k141_73491	0	0	0	0	5	0	21	0	0	0
k141_73492	1	0	6	31	0	0	0	0	2	0
k141_22526	0	0	2	0	15	1	50	0	0	0
k141_10941	48	1	40	21	7	3	3	1	0	44
k141_83416	9	885	340	33	421	109	1037	4972	7	27
k141_59582	1	10	0	0	58	52	0	30	0	1
k141_10943	0	0	9	7	0	0	0	0	9	4
k141_83417	9	0	0	1	0	10	0	0	2	7
k141_10944	1	0	11	46	0	1	0	0	1	3
k141_22538	0	0	0	1	0	0	0	0	2	13
k141_59583	13	9	7	7	18	11	27	0	0	9
k141_34653	1	1	1	3	2	7	1	0	53	0
k141_59584	7	1	0	1	2	1	0	0	2	13
k141_22541	0	2	0	0	0	1	0	0	8	31
k141_34656	7	0	2	4	0	1	0	0	0	3
k141_73514	0	2	0	0	1	1	0	0	41	0
k141_34657	9	0	2	18	0	2	0	1	1	13
k141_10946	0	22	0	0	19	6	68	1	1	1
k141_83438	5	0	1	3	1	0	0	0	18	4
k141_73517	1	0	0	0	5	1	19	0	0	0
k141_10955	0	0	0	0	0	2	0	0	2	16
k141_83444	7	0	2	0	1	1	0	0	2	4
k141_34659	9	19	8	7	13	11	12	0	1	4
k141_34660	5	0	3	10	2	23	0	0	13	46
k141_73520	24	0	7	8	0	4	0	0	0	4
k141_59586	2	0	41	199	1	5	0	0	9	5
k141_73521	5	1	4	3	2	2	0	0	11	0
k141_83450	0	0	2	0	0	0	0	0	2	15
k141_73523	4	0	0	0	0	2	0	0	9	5
k141_10966	15	0	6	4	0	1	0	0	0	7
k141_34669	2	8	0	3	5	0	5	0	0	3
k141_83452	3	10	1	1	10	2	8	0	0	0
k141_10967	0	0	1	0	0	0	0	0	31	0
k141_83454	0	1	0	0	0	22	0	0	0	1
k141_73529	8	4	4	2	5	6	3	0	0	3
k141_10972	0	8	0	0	10	2	10	0	0	0
k141_59591	198	0	212	252	5	1	1	2	59	57
k141_83461	0	0	3	6	0	0	0	0	8	0
k141_59593	4	1	0	3	1	8	0	0	48	4
k141_10978	6	1	0	7	1	0	0	0	6	3
k141_34689	23	4	2	4	2	48	0	1	35	86
k141_59596	1	0	1	0	0	19	0	0	0	0
k141_47217	13	970	348	38	501	135	1093	5050	14	19
k141_34692	7	0	1	1	1	1	0	1	17	8
k141_59598	0	0	0	0	0	1	0	0	15	0
k141_34693	0	0	0	0	0	0	0	1	28	1
k141_83469	1	1	1	1	0	2	0	1	0	195
k141_59602	0	1	8	29	1	0	0	0	0	0
k141_83471	0	0	0	0	0	0	0	0	1	16
k141_10983	0	1	25	136	1	1	0	0	3	10
k141_59603	0	0	0	0	0	7	0	0	1	12
k141_10984	4	7	1	4	6	3	6	0	0	5
k141_59605	0	0	0	0	0	1	0	0	5	31
k141_47225	1	0	0	0	3	17	0	1	93	0
k141_10985	0	0	0	0	0	13	0	0	38	0
k141_34697	0	0	0	0	0	0	0	128	1	0
k141_59607	0	0	12	10	0	0	0	0	4	0
k141_10989	0	0	0	0	0	0	0	0	5	18
k141_83482	2	1	18	98	2	6	0	0	4	3
k141_34701	1	2	2	0	0	0	2	113	1	0
k141_59621	3	9	9	7	7	5	4	0	0	1
k141_34702	7	8	4	6	12	4	5	0	0	4
k141_73540	3	1	0	3	1	4	0	490	3	1
k141_47226	340	1	341	359	7	6	0	1	106	87
k141_59629	10	0	0	1	0	24	0	0	47	18
k141_83497	1	0	6	6	0	0	0	0	7	0
k141_73547	0	0	0	0	8	0	9	0	0	0
k141_47227	5	0	4	13	0	3	0	1	3	8
k141_11007	0	0	0	0	29	0	98	0	0	0
k141_59632	6	0	2	2	0	8	0	0	31	16
k141_34706	6	0	4	6	8	11	0	1	34	15
k141_73548	1	0	0	0	13	0	33	0	0	1
k141_59637	10	0	5	3	0	1	0	0	0	2
k141_47229	2	0	2	1	1	4	0	0	35	2
k141_83509	1	0	0	0	3	0	28	0	0	1
k141_59638	7	5	5	3	9	1	2	0	1	5
k141_73558	6	2	3	4	5	8	4	0	1	2
k141_47233	0	18	0	1	26	3	41	0	0	0
k141_73560	2	12	0	0	1	2	0	0	0	0
k141_34727	0	0	0	0	1	0	11	0	0	0
k141_47237	11	0	1	0	1	0	0	1	0	11
k141_59643	3	2	14	75	1	5	0	0	7	5
k141_47239	0	0	0	0	0	15	0	0	0	0
k141_34730	26	0	1	12	0	14	0	0	57	15
k141_47241	12	0	10	11	0	0	0	0	1	2
k141_73566	0	0	1	0	0	3	0	0	51	0
k141_11042	4	6	5	6	6	2	5	1	0	5
k141_83515	288	1	113	19	2	1	2	0	1	101
k141_73572	0	0	0	0	0	0	0	21	1	0
k141_34733	3	1	21	72	0	0	0	0	2	2
k141_83518	4	2	0	0	2	20	0	6	0	2
k141_11044	8	11	2	5	16	6	5	0	1	10
k141_47250	7	0	2	12	0	2	0	1	4	10
k141_73576	0	0	0	0	0	0	0	0	0	26
k141_34738	7	14	6	1	14	9	5	0	1	10
k141_59664	36	0	5	7	0	8	0	0	0	4
k141_11054	0	1	1	2	1	8	0	0	4	1
k141_59665	0	0	1	0	0	0	0	1	1	13
k141_73584	4	0	0	1	1	2	1	0	11	3
k141_34742	14	2	8	4	4	6	0	2	1	17
k141_47254	1	0	0	2	3	6	0	0	49	1
k141_47255	2	1	1	1	1	4	0	0	1	2
k141_34746	7	3	1	3	8	0	0	1	18	19
k141_47256	0	0	0	73	0	4	16	0	2	1
k141_59681	2	6	2	4	3	4	4	0	0	2
k141_11070	11	33	0	0	3	1	4	0	2	2
k141_73591	2	0	5	0	1	0	0	0	6	69
k141_34748	1	0	0	0	11	0	58	0	0	0
k141_47258	1	9	1	0	14	0	0	0	0	0
k141_83519	149	0	44	95	2	28	1	1	0	21
k141_59685	10	0	16	12	1	6	0	0	5	4
k141_11074	16	3	10	10	2	1	0	0	0	2
k141_73597	0	0	0	0	0	0	0	0	0	19
k141_83527	2	0	1	5	0	0	0	0	8	2
k141_11081	0	0	0	0	0	0	0	0	16	0
k141_73604	0	0	0	0	9	1	48	0	0	0
k141_47270	1	0	0	1	10	0	25	0	0	0
k141_73605	0	1	0	0	0	0	0	0	0	9
k141_83529	0	0	0	0	0	0	0	100	0	0
k141_11097	0	0	0	0	1	14	0	0	0	0
k141_83531	0	0	0	0	0	0	0	0	31	0
k141_83532	0	0	0	0	0	2	0	0	2	17
k141_73619	3	3	0	1	7	5	5	0	0	2
k141_83533	4	0	0	1	0	1	0	0	26	0
k141_83534	0	0	0	2	0	0	0	0	2	13
k141_73621	19	0	1	2	6	3	0	0	3	7
k141_11109	0	0	0	0	0	2	0	0	28	0
k141_73625	0	0	1	0	0	0	0	0	1	13
k141_83535	0	0	13	91	1	1	0	0	1	2
k141_47273	3	1	1	108	12	14	2	217	1	113
k141_83537	6	0	0	1	1	1	0	0	9	2
k141_73627	0	0	0	0	0	1	0	60	1	0
k141_34752	14	2	120	488	6	12	2	0	15	19
k141_11111	1	1	2	55	3	7	0	154	1	54
k141_59687	782	2	887	835	32	26	6	1	259	235
k141_34760	6	0	2	15	0	1	0	0	4	4
k141_11112	0	0	0	0	0	0	1	0	17	1
k141_47285	1	0	1	1	2	1	0	0	7	42
k141_73641	0	0	0	0	0	2	0	38	0	1
k141_22542	2437	2253	1730	1168	331	335	1645	1464	8	3503
k141_83542	17	1	29	107	1	22	0	1	8	9
k141_59689	0	0	0	0	1	1	0	0	6	40
k141_22543	56	92	4	2	49	472	38	173	0	33
k141_59690	5	1	1	2	1	19	1	1	8	5
k141_47287	0	9	0	0	23	6	47	0	0	1
k141_73650	17	0	1	1	0	3	0	0	7	25
k141_59692	4	0	1	9	3	1	0	0	2	11
k141_34764	11	19	8	6	39	5	28	0	0	8
k141_47289	0	0	0	1	3	0	22	0	0	2
k141_22548	2	1	1	0	0	0	0	0	8	21
k141_11126	0	0	0	2	0	3	0	115	0	4
k141_47294	0	0	0	0	0	0	0	0	29	0
k141_34770	0	0	0	1	0	0	0	0	6	47
k141_22551	0	0	0	19	1	2	0	51	0	14
k141_83554	0	0	0	0	23	0	77	0	0	0
k141_73667	1	0	8	15	0	0	0	0	2	0
k141_11131	0	0	1	0	0	2	0	0	3	37
k141_83560	0	7	3	7	9	4	6	0	1	1
k141_34778	0	0	1	0	0	0	0	0	1	15
k141_11132	0	0	5	0	0	5	0	0	2	5
k141_11135	0	0	9	7	0	0	0	0	11	0
k141_22559	7	22	0	10	19	6	12	0	0	8
k141_83566	3	0	0	0	0	0	0	0	8	2
k141_34787	6	0	0	14	0	4	0	1	5	12
k141_11141	0	1	0	61	0	1	10	0	0	0
k141_34789	2	0	1	0	1	20	0	0	5	2
k141_22561	53	0	19	31	1	7	0	0	0	5
k141_73671	1	25	15	1	13	2	33	116	0	0
k141_11143	6	6	2	2	10	2	1	1	1	4
k141_73672	1	1	0	5	4	3	0	0	4	2
k141_96940	612	1467	287	301	580	91	722	3327	2099	108
k141_34791	2	0	12	11	6	4	0	0	4	1
k141_22571	0	2	0	0	7	11	0	0	0	2
k141_73679	0	0	0	0	0	3	0	0	22	0
k141_83570	16	25	9	12	34	19	31	0	0	9
k141_11149	3	0	0	1	2	4	0	0	23	2
k141_96949	0	0	2	0	0	0	0	1	0	8
k141_73680	4	11	0	2	14	1	31	2	0	1
k141_83574	3	0	9	7	0	0	0	0	1	0
k141_22575	3	19	37	14	55	45	15	5	0	5
k141_11154	0	0	1	0	0	0	0	33	0	1
k141_34805	0	0	0	0	0	3	0	0	23	2
k141_22576	26	6	2	4	5	4	7	2	0	12
k141_83578	0	0	0	0	0	22	0	0	1	0
k141_11156	0	0	0	0	0	0	0	0	12	4
k141_22577	4	0	7	34	0	0	0	0	5	7
k141_96960	2	0	0	1	0	3	0	0	8	20
k141_34812	8	10	1	11	13	7	6	0	0	10
k141_73687	3	2	0	4	3	4	0	2	0	176
k141_96972	0	0	1	4	0	0	0	0	2	6
k141_34821	2	0	5	2	0	2	0	0	2	2
k141_11167	1	2	18	139	1	2	2	1	0	3
k141_59694	3	159	69	13	61	11	167	708	6	1
k141_73700	0	0	0	0	0	20	0	0	0	1
k141_34822	0	0	1	0	17	0	38	0	0	0
k141_59695	0	0	3	13	0	0	0	0	7	0
k141_22579	1	0	0	0	0	1	0	212	0	0
k141_11171	0	0	6	4	1	0	0	0	17	0
k141_73702	0	0	2	0	1	1	0	0	1	19
k141_96986	4	0	3	9	1	3	0	0	0	13
k141_11172	0	0	0	2	0	0	0	0	1	18
k141_83606	0	0	0	0	0	0	0	20	0	0
k141_22585	0	26	9	1	15	0	26	118	0	0
k141_22586	0	1	0	0	4	0	1	1	0	0
k141_83611	0	0	0	10	0	0	0	0	2	24
k141_47304	955	1	1140	1141	42	14	4	2	373	286
k141_96990	0	0	0	0	0	1	0	87	0	4
k141_22596	13	2	5	20	8	19	0	0	15	12
k141_59698	0	33	8	1	20	4	37	176	0	2
k141_22597	3	0	0	0	0	0	0	1	21	7
k141_96991	0	0	1	0	0	1	0	0	7	58
k141_59700	0	4	1	0	6	1	8	0	0	2
k141_11200	0	1	9	0	0	1	0	0	1	2
k141_59708	1	0	0	11	0	1	0	0	1	0
k141_83619	3	0	21	98	0	2	0	0	2	3
k141_73711	5	0	47	227	0	4	1	0	14	14
k141_59713	0	0	3	12	0	0	0	0	5	0
k141_83623	5	0	0	8	4	1	0	1	3	12
k141_47307	31	44	17	16	47	15	29	2	2	15
k141_73717	7	0	4	5	0	0	0	0	3	1
k141_22614	1	0	0	0	0	2	0	0	62	2
k141_34823	208	0	243	132	13	104	0	1	60	98
k141_59714	42	0	34	21	7	7	1	0	0	48
k141_83632	12	0	2	3	0	4	0	0	0	4
k141_83636	0	0	0	2	0	0	0	0	21	2
k141_59722	0	0	0	0	1	0	0	0	4	24
k141_97002	0	49	0	1	90	13	200	3	2	1
k141_34828	0	0	14	79	0	0	0	1	1	4
k141_11222	22	17	8	12	20	7	22	0	0	11
k141_47311	4	3	33	179	1	1	0	1	1	7
k141_73727	4	1	20	78	2	4	0	1	10	2
k141_97004	4	0	0	0	0	1	0	0	7	5
k141_34829	1	3	0	3	14	1	0	0	0	3
k141_83643	1	0	0	0	0	0	0	30	0	0
k141_73728	5	1	3	2	10	2	7	0	1	1
k141_34831	0	0	0	0	0	1	0	0	24	0
k141_83647	0	0	0	0	10	0	51	0	0	0
k141_11231	35	0	6	19	0	6	0	0	0	7
k141_47313	0	0	0	0	24	3	95	1	0	0
k141_47316	0	0	0	0	3	1	18	1	0	0
k141_83652	0	0	0	2	1	0	0	0	7	18
k141_59731	1	27	2	5	115	71	2	70	0	2
k141_34838	0	1	0	0	20	0	78	0	0	0
k141_83655	0	0	0	0	0	0	0	0	15	0
k141_11233	11	20	9	13	27	9	16	0	0	7
k141_59733	2	0	2	9	2	2	1	0	4	15
k141_73738	12	28	6	24	42	14	29	0	1	13
k141_11234	7	4	4	5	16	12	15	0	0	11
k141_59738	0	0	0	0	0	1	0	0	4	20
k141_34847	1	0	0	0	12	0	32	0	0	0
k141_59739	3	1	0	5	0	4	0	0	9	7
k141_97024	0	1	0	39	7	1	0	111	3	57
k141_73744	0	0	0	0	89	1	1	0	0	1
k141_34851	0	0	0	0	0	0	0	0	16	1
k141_59742	1	0	1	0	0	0	0	0	4	17
k141_47336	0	0	4	21	0	1	0	0	0	0
k141_34852	0	0	0	0	0	0	0	0	1	11
k141_97026	0	0	0	0	0	0	0	0	32	1
k141_11242	3	0	6	42	0	4	0	0	3	7
k141_59751	0	0	1	4	2	0	0	0	3	6
k141_11249	0	0	10	4	0	0	0	0	6	0
k141_22615	344	4	266	314	65	49	10	3	6	439
k141_83661	1	0	0	0	0	1	3	227	4	1
k141_11251	0	0	6	5	0	0	0	0	2	0
k141_73758	0	0	0	0	5	0	12	0	0	0
k141_11255	0	0	0	1	0	15	0	0	0	0
k141_73760	2	0	1	2	0	1	0	0	31	3
k141_47339	93	0	27	35	0	16	0	2	0	14
k141_59756	2	0	2	0	1	0	0	0	5	42
k141_34865	0	0	1	0	0	1	0	0	7	25
k141_97041	0	0	3	2	0	0	0	0	9	72
k141_83670	0	0	0	0	7	0	25	0	0	0
k141_59757	20	1	10	69	2	10	2	6	8	50
k141_11264	2	8	5	3	4	2	8	0	0	3
k141_97045	0	0	0	0	18	0	26	2	0	0
k141_34867	0	0	0	1	13	1	68	0	0	2
k141_97048	3	4	1	0	9	2	0	0	0	0
k141_59758	1	19	0	0	25	10	74	4	0	1
k141_34868	0	0	0	0	0	0	0	0	42	0
k141_73778	0	0	0	0	0	0	0	0	22	0
k141_83672	59	1	60	58	9	4	1	0	0	71
k141_73779	4	7	2	2	14	2	8	0	0	3
k141_97053	0	2	0	5	5	6	1	0	3	13
k141_34876	0	0	1	8	2	2	0	0	7	0
k141_34877	4	5	1	0	6	1	2	0	0	5
k141_59759	134	121	92	54	20	23	111	91	1	208
k141_97056	5	7	6	6	12	4	9	0	0	4
k141_83678	21	23	5	7	21	10	20	1	0	5
k141_11265	0	1	0	0	0	4	0	327	0	0
k141_34879	4	12	4	14	12	5	10	0	0	4
k141_11266	0	0	4	9	1	0	0	0	8	0
k141_59763	6	11	4	6	9	8	8	1	0	1
k141_97061	1	0	0	0	1	0	0	0	59	0
k141_34880	0	0	0	0	0	2	0	0	5	17
k141_83684	0	0	0	0	1	15	0	0	0	0
k141_73804	0	0	0	0	0	0	0	0	1	14
k141_59769	18	0	4	4	0	1	0	0	0	5
k141_97067	3	8	0	9	1	8	0	0	4	9
k141_83691	0	0	2	0	0	0	0	2	5	45
k141_83692	0	0	1	0	0	0	0	0	19	0
k141_34894	2	3	0	1	10	0	0	0	0	0
k141_59771	61	0	11	18	0	8	0	0	0	7
k141_97075	0	0	0	0	3	0	18	0	0	0
k141_73814	57	0	33	47	8	6	0	1	1	79
k141_97078	4	6	1	5	4	5	10	0	0	5
k141_59774	21	0	0	3	1	9	0	0	7	4
k141_11271	2	1	42	228	2	5	0	1	4	5
k141_73819	10	0	22	25	67	2	5	1	0	5
k141_97080	2	0	0	0	2	10	0	4	1	1
k141_59777	2	0	0	0	0	9	0	0	8	5
k141_34898	0	0	0	1	11	1	67	0	0	0
k141_73820	0	16	4	1	4	1	20	39	0	1
k141_59780	0	0	0	0	0	0	0	0	15	0
k141_47343	4	0	2	232	21	21	0	458	3	177
k141_83707	0	15	0	0	26	4	83	1	0	1
k141_11277	0	6	0	0	50	19	0	14	0	0
k141_83708	2	0	1	13	0	0	0	0	1	1
k141_47345	1	0	0	0	0	0	0	0	5	31
k141_73826	0	0	20	77	1	0	0	0	1	1
k141_83711	2	2	0	1	3	24	0	0	1	1
k141_34912	0	0	2	2	3	0	0	0	3	21
k141_97081	1	38	0	0	80	11	162	3	0	0
k141_22626	49	348	45	72	297	298	221	283	2	38
k141_34913	1	0	0	1	0	0	0	0	8	17
k141_47349	0	6	0	0	27	32	2	20	0	1
k141_11290	0	0	0	0	1	1	0	60	1	1
k141_47351	8	0	0	0	0	2	0	0	25	3
k141_11293	0	4	0	0	0	1	4	4	4	0
k141_97088	0	5	0	0	26	19	0	11	0	0
k141_73837	5	0	0	4	4	8	0	1	35	9
k141_34925	0	0	5	6	0	0	0	0	5	2
k141_11296	0	0	0	1	0	0	0	0	18	0
k141_83713	0	0	0	0	48	0	141	0	0	4
k141_34926	1	3	6	25	4	6	0	0	2	52
k141_47359	23	0	3	3	1	1	0	0	0	4
