Sequence	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
k141_201	7	0	0	7	0	0	0	1	2	3
k141_75513	1	0	1	4	7	5	0	0	10	10
k141_37863	3	0	3	3	9	2	6	0	0	1
k141_25261	0	0	0	0	0	14	0	0	3	0
k141_202	28	0	17	12	0	3	0	0	0	1
k141_62909	7	9	1	4	12	4	13	0	1	5
k141_37867	5	2	6	1	5	4	4	0	0	2
k141_204	0	0	0	0	0	14	0	0	0	1
k141_12731	0	0	0	0	0	26	1	0	5	1
k141_62910	7	0	3	16	0	3	1	3	1	7
k141_88019	1	0	1	0	0	0	2	102	1	1
k141_25268	7	0	0	0	0	2	0	1	13	4
k141_62913	4	6	0	0	0	2	7	6	5	0
k141_75515	3	0	1	0	0	3	0	201	3	0
k141_88021	0	0	1	0	0	4	0	118	0	0
k141_62915	7	0	20	81	0	1	0	1	3	2
k141_75516	0	0	0	0	0	1	0	20	0	0
k141_209	1	8	0	0	61	28	0	23	1	0
k141_62916	5	1	4	22	3	6	0	3	5	20
k141_210	0	0	0	0	14	0	51	0	0	0
k141_25278	4	1	37	147	0	6	0	0	3	4
k141_75527	3	0	12	39	0	9	0	0	8	5
k141_12740	11	82	5	9	62	57	69	70	1	8
k141_211	0	0	3	0	1	2	0	0	3	52
k141_88033	0	26	13	1	9	2	29	139	0	1
k141_25293	11	3	1	3	0	3	0	0	18	4
k141_12754	2	0	6	7	0	0	0	0	0	5
k141_37873	539	0	578	591	21	9	2	1	198	162
k141_75535	0	0	1	0	6	3	1	0	111	1
k141_226	0	0	0	0	0	12	0	0	1	1
k141_75537	7	0	1	0	0	24	2	0	0	10
k141_62923	7	1	2	114	16	8	0	206	1	90
k141_75538	0	0	0	0	7	0	19	0	0	0
k141_12768	0	2	0	0	21	9	1	14	0	0
k141_37882	0	0	0	2	0	0	0	0	5	31
k141_75540	5	0	3	2	0	1	0	0	1	1
k141_62925	4	1	0	9	0	1	0	0	2	7
k141_37884	12	0	0	0	0	0	0	0	2	1
k141_230	0	0	1	2	0	7	0	0	105	0
k141_12772	0	7	2	0	5	0	13	30	0	0
k141_75541	1	5	4	1	6	3	3	0	0	3
k141_12774	1	0	0	0	0	19	0	0	0	0
k141_12775	0	0	0	0	0	0	0	0	33	0
k141_232	0	17	7	0	0	2	13	61	2	1
k141_75548	1	0	0	0	1	0	0	0	20	0
k141_12777	111	227	5	9	105	946	73	293	2	100
k141_62933	0	0	17	24	0	0	0	0	7	0
k141_12779	0	1	0	0	0	0	0	0	16	1
k141_75549	0	0	0	0	0	0	0	39	0	1
k141_37900	0	0	0	1	0	10	0	0	3	1
k141_62935	1	0	0	0	0	6	0	0	21	13
k141_88034	0	2	1	2	1	5	0	435	0	0
k141_12780	0	13	0	0	16	2	37	0	0	0
k141_88036	0	0	3	9	0	1	0	0	4	0
k141_37911	0	0	0	1	0	0	0	0	3	14
k141_75553	0	0	0	0	0	1	0	121	0	1
k141_62940	0	13	10	1	9	0	16	50	0	0
k141_37913	9	0	0	0	0	2	0	0	16	0
k141_12788	0	0	0	0	0	0	0	1	48	1
k141_88044	0	8	0	0	4	7	13	1	0	0
k141_12789	414	1	404	422	16	4	1	2	126	103
k141_88052	0	0	0	0	0	20	0	0	0	0
k141_75563	1	0	0	1	0	2	0	0	165	1
