feature	1_RP_001	1_RP_002	1_RP_003	1_RP_004	1_RP_011	1_RP_012	1_RP_013	1_RP_014
594.354157@854.75[]	18617.0000	33462.2891	30868.9102	19738.6191	24686.6797	29378.2793	20291.7207	23917.6504
536.299673@839.93[1]	20773.0000	28305.1797	34358.4609	26828.9805	23348.5195	23956.0293	22802.1699	21708.5098
61.039885@51.35[]	902153.1875	728828.6250	815757.1250	754026.6250	562308.1875	721081.3125	668052.6875	828084.8750
149.059465@102.14[]	195283.7969	153789.5938	142841.5938	131064.0000	132957.5938	116639.3984	105350.5000	88867.2109
175.001127@73.44[]	307502.4062	140933.7969	172854.2031	222733.4062	96087.7188	298301.0000	208616.2031	214207.7031
192.961454@58.65[]	309609.5000	159013.2969	144805.5938	114538.8984	87045.3203	110480.8984	63161.8984	63382.5508
261.008348@657.82[1]	146713.2969	126661.2031	81210.3594	69076.2734	63139.4492	92230.8203	92930.9922	104805.0000
566.322577@831.71[1]	574085.1250	692340.8125	779724.8125	806063.0000	1933361.0000	1534154.0000	1746000.0000	1627795.0000
144.081051@179.44[1]	290893.3125	220690.2969	204135.0938	187511.0000	210591.0938	221630.4062	213793.4062	243695.0938
207.174283@826.34[]	34419.6797	48050.4219	26527.6797	13436.5801	10850.7803	13820.7998	10447.7998	11817.9902
471.266453@759.44[1]	341510.8125	27175.3105	71576.3281	402413.6875	128480.2969	173660.0938	177295.4062	201002.0938
191.040236@55.89[]	83880.5312	112340.1016	95298.1328	89418.5703	70067.8281	61460.8086	63045.2188	60354.6797
520.333040@440.04[1]	87093.5312	58336.1992	30535.8301	63825.9688	33885.2305	27050.5605	55294.9219	73930.1875
604.572646@56.55[]	25073.2793	21887.7793	24048.0703	23888.9492	21143.8594	20547.8691	24307.3398	24445.5703
169.019250@204.21[]	29274.0996	20616.8398	26791.1992	20513.3105	15977.5996	18572.5293	15123.4102	20460.5293
386.327001@786.33[1]	83907.2031	46944.1602	40948.8086	44754.1211	43504.8516	29597.1406	27223.5703	36360.0586
127.049227@128.61[]	135341.2031	110779.2031	68775.4609	73768.3281	295562.0000	139585.5000	222791.2031	117628.1016
114.893048@56.05[]	32968.6914	24773.3105	23278.9297	19927.3398	20461.7109	25742.0098	22872.1797	18752.2207
365.266198@812.75[]	37590.1094	29544.6699	31686.1406	15890.7598	25475.9609	31854.1191	41928.4805	34668.9688
565.933576@302.95[3]	660517.6875	94876.6797	444550.5000	354617.4062	327990.1875	370363.4062	406155.8125	156497.9062
265.128019@73.60[]	175792.9062	45022.9102	66690.4531	50938.8008	66597.3828	50584.9414	53595.3398	120358.7031
